Stot,MAPKpp
0.0,0.25937399472254097
0.01,0.33350478915652787
0.02,0.40599394712756515
0.03,0.4763032003054012
0.04,0.5438282084022354
0.05,0.6079174287139276
0.06,0.6679077186718481
0.07,0.723177647164951
0.08,0.7732128116997337
0.09,0.8176691312160114
0.1,0.8564152617736857
0.11,0.889539365205483
0.12,0.9173182454588542
0.13,0.9401608151815232
0.14,0.9585444017127203
0.15,0.9729594706521566
0.16,0.9838704779378556
0.17,0.991693346560952
0.18,0.996786116175856
0.19,0.9994483508014068
0.2,0.9999255576801084
0.21,0.9984160277076867
0.22,0.9950785587417706
0.23,0.9900402782025306
0.24,0.9834042454945703
0.25,0.9752567533174542
0.26,0.9656743236273835
0.27,0.9547303577199254
0.28,0.9425012897415709
0.29,0.9290719493429517
0.3,0.9145397136703024
0.31,0.8990169816889907
0.32,0.8826315878573435
0.33,0.8655250053889428
0.34,0.8478485314577655
0.35000000000000003,0.8297580013045173
0.36,0.8114078282059797
0.37,0.7929452290467538
0.38,0.7745053609914896
0.39,0.7562078258072029
0.4,0.7381546917980957
0.41000000000000003,0.7204299249379307
0.42,0.7030999568757235
0.43,0.6862150525271309
0.44,0.6698111510475949
0.45,0.6539119092982894
0.46,0.6385307487650884
0.47000000000000003,0.6236727751920396
0.48,0.609336498885251
0.49,0.5955153235882104
0.5,0.5821988018358236
0.51,0.5693736711594112
0.52,0.5570246936170382
0.53,0.545135325793089
0.54,0.5336882461697553
0.55,0.5226657633200713
0.56,0.5120501282189384
0.5700000000000001,0.5018237686314196
0.58,0.49196946163030286
0.59,0.48247045726625304
0.6,0.47331056399593335
0.61,0.4644742044441282
0.62,0.45594644835792286
0.63,0.44771302819814524
0.64,0.43976034167927053
0.65,0.4320754446224911
0.66,0.42464603679489604
0.67,0.41746044281845285
0.68,0.41050758921923725
0.6900000000000001,0.40377698054833355
0.7000000000000001,0.3972586725553156
0.71,0.39094324611034786
0.72,0.384821780578725
0.73,0.37888582766302736
0.74,0.3731273858781982
0.75,0.36753887584094186
0.76,0.3621131165744669
0.77,0.356843302820542
0.78,0.3517229834589696
0.79,0.3467460410319853
0.8,0.341906672385753
0.81,0.33719937035831077
0.8200000000000001,0.3326189065727524
0.8300000000000001,0.3281603152046188
0.84,0.3238188777388491
0.85,0.3195901086506838
0.86,0.3154697419623809
0.87,0.31145371863616217
0.88,0.30753817474261924
0.89,0.3037194303780518
0.9,0.29999397926335436
0.91,0.2963584789994432
0.92,0.2928097419300198
0.93,0.2893447265735905
0.9400000000000001,0.2859605295879841
0.9500000000000001,0.2826543782460619
0.96,0.27942362331241216
0.97,0.27626573251115605
0.98,0.27317828419424994
0.99,0.2701589615422113
1.0,0.26720554705972793
1.01,0.2643159174103795
1.02,0.26148803856252223
1.03,0.2587199612215495
1.04,0.25600981653627414
1.05,0.2533558120480698
1.06,0.2507562278940718
1.07,0.2482094132061664
1.08,0.24571378273930725
1.09,0.2432678136784026
1.1,0.2408700426299241
1.11,0.23851906278504453
1.12,0.23621352123865005
1.1300000000000001,0.23395211645504077
1.1400000000000001,0.23173359588077272
1.1500000000000001,0.22955675367666006
1.16,0.22742042858189795
1.17,0.22532350188774392
1.18,0.22326489552194226
1.19,0.22124357023290148
1.2,0.21925852387040337
1.21,0.21730878975722004
1.22,0.21539343513239853
1.23,0.213511559707271
1.24,0.2116622942545197
1.25,0.20984479928110603
1.26,0.20805826380507542
1.27,0.20630190412858443
1.28,0.2045749627220314
1.29,0.20287670714188227
1.3,0.20120642901186703
1.31,0.19956344301505446
1.32,0.1979470860312967
1.33,0.19635671618055944
1.34,0.19479171202115278
1.35,0.19325147173406906
1.36,0.1917354123603886
1.37,0.19024296906882635
1.3800000000000001,0.18877359445482952
1.3900000000000001,0.1873267578834695
1.4000000000000001,0.18590194484771239
1.41,0.1844986563644885
1.42,0.18311640839430524
1.43,0.18175473128743094
1.44,0.18041316925423326
1.45,0.17909127985317083
1.46,0.17778863353405977
1.47,0.17650481311945007
1.48,0.17523941341522176
1.49,0.17399204075919425
1.5,0.17276231261886765
1.51,0.17154985720165375
1.52,0.1703543130811472
1.53,0.16917532883931688
1.54,0.16801256272198367
1.55,0.166865682310779
1.56,0.16573436420528206
1.57,0.16461829372107695
1.58,0.1635171645975595
1.59,0.16243067871861505
1.6,0.16135854584370007
1.61,0.16030048335143418
1.62,0.15925621598730752
1.6300000000000001,0.15822547563003161
1.6400000000000001,0.1572080011024274
1.6500000000000001,0.15620353773764487
1.6600000000000001,0.15521183759510454
1.67,0.15423265882821519
1.68,0.15326576570225692
1.69,0.15231092839938334
1.7,0.1513679226496928
1.71,0.1504365299311514
1.72,0.1495165369245437
1.73,0.14860773553921547
1.74,0.14770992271849798
1.75,0.14682290028738657
1.76,0.145946473027498
1.77,0.14508045743510214
1.78,0.14422466380576793
1.79,0.14337891384885654
1.8,0.14254303172378763
1.81,0.14171684566445503
1.82,0.14090018786830194
1.83,0.14009289438281552
1.84,0.13929480499654184
1.85,0.138505763131441
1.86,0.13772561574199402
1.87,0.13695421321546086
1.8800000000000001,0.13619140927606763
1.8900000000000001,0.13543706089260862
1.9000000000000001,0.134691028190573
1.9100000000000001,0.13395317436179835
1.92,0.13322336558473138
1.93,0.13250147094157813
1.94,0.13178736234036592
1.95,0.1310809144387075
1.96,0.13038200457097154
1.97,0.12969051271442858
1.98,0.1290063212351543
1.99,0.12832931518635995
